,variable,value,entry_pressure,basal_shear_stress,basal_melt_rate,fringe_heave_rate,fringe_growth_rate,fringe_thickness,fringe_sedflux,dispersed_layer_thickness,dispersed_layer_growth_rate,dispersed_sedflux
92,permeability,1.2e-17,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.71609836911e-23,0.288704337868,23385.0513673,0.433171976355,1.37291441326e-10,2923.91084039
93,permeability,2.3e-17,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.06894356625e-23,0.412897230813,33444.6756958,0.458171403406,1.45273141038e-10,3092.65697299
94,permeability,3.4e-17,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.40743609908e-23,0.49227885531,39874.5872801,0.474120792419,1.50374884579e-10,3200.31534883
95,permeability,4.5e-17,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.69407945319e-22,0.548731789187,44447.2749242,0.485461235716,1.54003033948e-10,3276.86334108
96,permeability,5.6e-17,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.74004593631e-22,0.591439369164,47906.5889023,0.49404512015,1.56747789068e-10,3334.80456101
97,permeability,6.7e-17,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.70490970548e-22,0.625103902838,50633.4161299,0.500817284883,1.58911360528e-10,3380.51667296
98,permeability,7.8e-17,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.72552192093e-22,0.652437855136,52847.466266,0.506321456958,1.60668074572e-10,3417.66983447
99,permeability,8.9e-17,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.73900710262e-22,0.675137047274,54686.1008292,0.510897104117,1.62126919205e-10,3448.55545279
100,permeability,1e-16,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.72835597337e-22,0.694325557208,56240.3701339,0.514769082774,1.63360137311e-10,3474.69130872
101,cluster_volume_fraction,0.3,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.7380543e-22,0.53013925113,42941.2793415,0.481732102694,1.5281008729e-10,3251.69169318
