,variable,value,entry_pressure,basal_shear_stress,basal_melt_rate,fringe_heave_rate,fringe_growth_rate,fringe_thickness,fringe_sedflux,dispersed_layer_thickness,dispersed_layer_growth_rate,dispersed_sedflux
13,effective_pressure,118313.332435,68000.0,65683.65389,5.35695323726e-10,-5.35695323726e-10,1.74033387615e-22,0.723139199372,58574.2751491,1.33721830667,1.69685156977e-10,9026.22357001
14,effective_pressure,145362.760181,68000.0,79147.1544343,6.05344743476e-10,-6.05344743476e-10,1.75579088715e-22,0.922358050935,74711.0021257,1.51303223156,1.92170037194e-10,10212.967563
15,effective_pressure,178596.372976,68000.0,95168.7559439,6.882277385e-10,-6.88227738501e-10,3.48504508968e-22,1.06901685365,86590.3651453,1.69538989197,2.15499291592e-10,11443.8817708
16,effective_pressure,219428.032327,68000.0,114194.011557,7.86649245572e-10,-7.86649245572e-10,3.49673597601e-22,1.16597622149,94444.0739408,1.88226234078,2.39368408549e-10,12705.2708002
17,effective_pressure,269594.844333,68000.0,136744.352937,9.03306736481e-10,-9.03306736481e-10,3.50418890208e-22,1.21963551823,98790.4769766,2.0727178137,2.63632531389e-10,13990.8452425
18,effective_pressure,331231.061592,68000.0,163431.672229,1.04136565342e-09,-1.04136565342e-09,3.51295497175e-22,1.23774855485,100257.632943,2.2665419797,2.88258752213e-10,15299.158363
19,effective_pressure,406958.880965,68000.0,194975.694368,1.2045492795e-09,-1.2045492795e-09,3.5057322866e-22,1.22801941838,99469.572889,2.46394686074,3.13281796365e-10,16631.64131
20,effective_pressure,500000.0,68000.0,232224.477825,1.39724479325e-09,-1.39724479325e-09,3.50172977879e-22,1.19738004616,96987.7837389,2.66538905131,3.38773320444e-10,17991.3760963
21,sliding_velocity_x,5.0,68000.0,41599.2836834,2.17420609851e-10,-2.17420609853e-10,1.70854554621e-20,1.21896799197,9873.64073497,1.20870703696,1.53593280868e-10,815.877249947
22,sliding_velocity_x,6.60810364717,68000.0,43633.553215,2.25732769839e-10,-2.25732769839e-10,2.57931680823e-21,1.17327325074,12560.0402207,1.2087381246,1.53569272831e-10,1078.30801931
23,sliding_velocity_x,8.73340676234,68000.0,45670.809852,2.37168312494e-10,-2.37168312494e-10,3.49914975902e-22,1.115642473,15784.2424192,1.20874393657,1.53536238022e-10,1425.12108339
24,sliding_velocity_x,11.5422514157,68000.0,47682.977802,2.52843857853e-10,-2.52843857853e-10,3.48887266452e-22,1.04511400037,19542.0090515,1.20869496698,1.53490944421e-10,1883.39326116
25,sliding_velocity_x,15.2544787353,68000.0,49638.1953264,2.74243936935e-10,-2.74243936935e-10,1.75130774532e-22,0.961845715602,23769.3771248,1.20854597637,1.53429090796e-10,2488.82475113
26,sliding_velocity_x,20.1606353133,68000.0,51502.8701577,3.03330351617e-10,-3.03330351617e-10,1.73619553482e-22,0.86750588423,28332.9410178,1.20823369252,1.53344985265e-10,3288.43244449
27,sliding_velocity_x,26.6447135486,68000.0,53244.6194113,3.4268363526e-10,-3.4268363526e-10,1.73129767702e-22,0.765356504615,33036.1818214,1.20767643564,1.53231126766e-10,4344.05601276
